display,name_kr,name_en,ticker,type,enabled,aliases
신송홀딩스,신송홀딩스,,006880.KS,company,1,
풍국주정,풍국주정,,023900.KQ,company,1,
덕산테코피아,덕산테코피아,,317330.KQ,company,1,
성창기업지주,성창기업지주,,000180.KS,company,1,
유니온머티리얼,유니온머티리얼,,047400.KS,company,1,
유진증권,유진증권,,001200.KS,company,1,
실리콘투,실리콘투,,257720.KQ,company,1,
인터지스,인터지스,,129260.KS,company,1,
제룡전기,제룡전기,,033100.KQ,company,1,
지역난방공사,지역난방공사,,071320.KS,company,1,
삼천리,삼천리,,004690.KS,company,1,
대창단조,대창단조,,015230.KS,company,1,
선광,선광,,003100.KQ,company,1,
큐리언트,큐리언트,,115180.KQ,company,1,
브리지텍,브리지텍,,064480.KQ,company,1,
나노신소재,나노신소재,,121600.KQ,company,1,
씨엔알리서치,씨엔알리서치,,359090.KQ,company,1,
한국내화,한국내화,,010040.KS,company,1,
네오위즈,네오위즈,,095660.KQ,company,1,
디젠스,디젠스,,113810.KQ,company,1,
코위버,코위버,,056360.KQ,company,1,
PN풍년,PN풍년,,024940.KQ,company,1,
얼라인드,얼라인드,,238120.KQ,company,1,
삼화전자공업,삼화전자공업,,011230.KS,company,1,
오리엔탈정공,오리엔탈정공,,014940.KQ,company,1,
아진엑스텍,아진엑스텍,,059120.KQ,company,1,
승일,승일,,049830.KQ,company,1,
피에스케이,피에스케이,,319660.KQ,company,1,
SNT홀딩스,SNT홀딩스,,036530.KS,company,1,
대한유화,대한유화,,006650.KS,company,1,
티이엠씨,티이엠씨,,425040.KQ,company,1,
칩스앤미디어,칩스앤미디어,,094360.KQ,company,1,
이글루,이글루,,067920.KQ,company,1,
아이디스,아이디스,,143160.KQ,company,1,
금호전기,금호전기,,001210.KS,company,1,
윌비스,윌비스,,008600.KS,company,1,
인터로조,인터로조,,119610.KQ,company,1,
진바이오텍,진바이오텍,,086060.KQ,company,1,
무학,무학,,033920.KS,company,1,
아이디스홀딩스,아이디스홀딩스,,054800.KQ,company,1,
유한양행,유한양행,,000100.KS,company,1,
NE능률,NE능률,,053290.KQ,company,1,
아즈텍WB,아즈텍WB,,032080.KQ,company,1,
신화콘텍,신화콘텍,,187270.KQ,company,1,
성문전자,성문전자,,014910.KS,company,1,
엠게임,엠게임,,058630.KQ,company,1,
알테오젠,알테오젠,,196170.KQ,company,1,
엘티씨,엘티씨,,170920.KQ,company,1,
코텍,코텍,,052330.KQ,company,1,
한미글로벌,한미글로벌,,053690.KS,company,1,
크린앤사이언스,크린앤사이언스,,045520.KQ,company,1,
우신시스템,우신시스템,,017370.KS,company,1,
코맥스,코맥스,,036690.KQ,company,1,
아난티,아난티,,025980.KQ,company,1,
노랑풍선,노랑풍선,,104620.KQ,company,1,
에스티오,에스티오,,098660.KQ,company,1,
JB금융지주,JB금융지주,,175330.KS,company,1,
하이딥,하이딥,,365590.KQ,company,1,
에스앤더블류,에스앤더블류,,103230.KQ,company,1,
에스티큐브,에스티큐브,,052020.KQ,company,1,
디아이,디아이,,003160.KS,company,1,
에이치케이,에이치케이,,044780.KQ,company,1,
코이즈,코이즈,,121850.KQ,company,1,
동방아그로,동방아그로,,007590.KS,company,1,
세보엠이씨,세보엠이씨,,011560.KQ,company,1,
한국자산신탁,한국자산신탁,,123890.KS,company,1,
GS,GS,,078930.KS,company,1,
교보증권,교보증권,,030610.KS,company,1,
현대바이오랜드,현대바이오랜드,,052260.KQ,company,1,
파인디지털,파인디지털,,038950.KQ,company,1,
유니트론텍,유니트론텍,,142210.KQ,company,1,
디지아이,디지아이,,043360.KQ,company,1,
태양,태양,,053620.KQ,company,1,
대주전자재료,대주전자재료,,078600.KQ,company,1,
대원미디어,대원미디어,,048910.KQ,company,1,
제일연마,제일연마,,001560.KS,company,1,
재영솔루텍,재영솔루텍,,049630.KQ,company,1,
아이씨디,아이씨디,,040910.KQ,company,1,
SG,SG,,255220.KQ,company,1,
원바이오젠,원바이오젠,,307280.KQ,company,1,
NH프라임리츠,NH프라임리츠,,338100.KS,company,1,
디씨엠,디씨엠,,024090.KS,company,1,
대륙제관,대륙제관,,004780.KQ,company,1,
한세예스24홀딩스,한세예스24홀딩스,,016450.KS,company,1,
유에스티,유에스티,,263770.KQ,company,1,
바이오톡스텍,바이오톡스텍,,086040.KQ,company,1,
중앙에너비스,중앙에너비스,,000440.KQ,company,1,
